id,question,reference_answer,skill,topic,subtopic,difficulty,category,role,keywords,evaluation_points,estimated_time_seconds
117,What is a Bloom filter and when would you use it?,"A Bloom filter is a space-efficient probabilistic data structure for testing set membership. Uses bit array + multiple hash functions. Insert: hash item with k functions, set those k bits to 1. Query: check all k bits — if any 0, definitely not in set; if all 1, probably in set (false positive possible). No false negatives. No deletion (standard). Use cases: cache negative lookups (before expensive DB query), email spam filters, Cassandra's SSTable lookup, Bitcoin nodes filtering transactions, Chrome's safe browsing. Trade-off: space vs false positive rate.",Computer Science,Data Structures,Probabilistic,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist|Data Engineer,Bloom filter|probabilistic|false positive|bit array|hash function|cache|membership,"Bloom filter bit array and hash function mechanics|False positive vs false negative guarantees|Space efficiency trade-off|Practical use cases (cache, spam, Cassandra)",90
118,Explain database sharding and its strategies.,"Sharding horizontally partitions data across multiple databases to scale beyond single-machine limits. Strategies: Range sharding (e.g., user_id 1-1M shard 1, 1M-2M shard 2 — hotspot risk for sequential IDs), Hash sharding (hash(key) % N — even distribution, but resharding costly), Directory sharding (lookup table maps key to shard — flexible, lookup table is bottleneck). Challenges: cross-shard queries, joins impossible across shards, distributed transactions, resharding without downtime (consistent hashing minimizes data movement).",Databases,Database Architecture,Sharding,Hard,Technical,Backend Developer|Database Administrator|Cloud Engineer|Software Engineer,sharding|horizontal partitioning|range sharding|hash sharding|consistent hashing|resharding|hotspot|cross-shard,Sharding definition and horizontal scaling|Range vs hash vs directory strategies|Hotspot and resharding challenges|Consistent hashing for minimal data movement,120
119,What is a product roadmap and how do you build one?,"A roadmap communicates product direction and planned features over time. Building process: collect inputs (user research, sales requests, support tickets, strategy), prioritize (RICE: Reach, Impact, Confidence, Effort; or ICE: Impact, Confidence, Ease), group into themes/epics, map to time horizons (Now/Next/Later or quarters). Formats: Gantt-style (dates), Goal-based (outcomes not features). Roadmaps are living documents — revise with new information. Communicate 'why' not just 'what'.",Product Management,Behavioral,Product Roadmap,Medium,Behavioral,Product Manager,roadmap|RICE|ICE|prioritization|epic|theme|timeline|stakeholder|Now/Next/Later,Input collection methods|RICE/ICE prioritization frameworks|Time horizon structuring|Outcome-based vs feature-based format,90
120,What is the difference between vertical and horizontal scaling?,"Vertical scaling (scale-up): add more CPU/RAM/storage to existing server. Simple, no app changes, but limited by hardware ceiling and single point of failure. Horizontal scaling (scale-out): add more servers, distribute load. No single hardware limit, fault tolerant, requires stateless app design (session in Redis not in memory). Requires load balancer. Databases: vertical up to a point, then read replicas + sharding for horizontal. Microservices enable independent horizontal scaling per service.",System Design,Infrastructure,Scalability,Easy,Technical,Backend Developer|Software Engineer|Cloud Engineer|DevOps Engineer|Full Stack Developer,vertical scaling|horizontal scaling|scale-up|scale-out|load balancer|stateless|read replica|sharding|fault tolerance,Vertical scaling limits and single point of failure|Horizontal scaling stateless requirement|Load balancer necessity for horizontal|Database scaling progression,90
121,Tell me about a time you had to deliver a critical project under a tight deadline. How did you prioritize tasks?,"Under strict deadlines, I use impact vs effort prioritization (Eisenhower Matrix), communicate trade-offs early to stakeholders, eliminate non-essential scope, and establish daily syncs to remove blockers.",Time Management,Behavioral,Prioritization,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|Product Manager,deadline|prioritization|trade-offs|stakeholders|blockers|time management,Structured prioritization framework|Clear stakeholder communication|Proactive blocker resolution|Measurable successful outcome,90
122,Give an example of a mistake or failure you experienced in a past project and what you learned from it.,"I once pushed an unvetted configuration change that caused a minor outage. I conducted a blameless post-mortem, added automated integration checks, and created pre-deployment runbooks to prevent recurrence.",Self Awareness,Behavioral,Failure & Growth,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|Product Manager,mistake|failure|learning|post-mortem|ownership|growth,High ownership without blaming others|Root cause analysis|Concrete preventative safeguards implemented|Personal growth demonstrated,90
123,How do you handle ambiguous requirements when starting a new initiative with minimal documentation?,"I begin by interviewing key stakeholders to understand business goals, define explicit assumptions, create a lightweight technical design document (RFC), and iterate rapidly with feedback loops.",Leadership,Behavioral,Ambiguity,Hard,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|Product Manager,ambiguity|requirements|RFC|design doc|stakeholders|assumptions,Proactive stakeholder alignment|Clear assumption documentation|RFC/design doc workflow|Iterative prototype delivery,120
124,Describe a situation where you had to give constructive feedback to a peer or manage expectations upward.,"I focus on objective facts and observable impact rather than personal traits. In one instance, I provided clear code review benchmarks and paired with the engineer, resulting in a 40% reduction in review iterations.",Communication,Behavioral,Feedback,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|Data Scientist|ML Engineer|DevOps Engineer|Product Manager,feedback|communication|peer review|empathy|mentorship,Objective and actionable feedback|Empathetic communication|Constructive mentorship approach|Positive measurable result,90
125,How would you design a distributed caching layer to prevent Cache Stampede (Thundering Herd) and Cache Penetration?,"To prevent Cache Stampede: use distributed mutex locks (e.g. Redlock), probabilistic early expiration (XFetch), or background cache warmers. For Cache Penetration: use Bloom Filters at the ingress layer or cache null values with short TTLs.",Caching,System Design,Distributed Caching,Hard,System Design,Software Engineer|Backend Developer|Full Stack Developer|Cloud Engineer|DevOps Engineer,caching|Redis|stampede|penetration|bloom filter|mutex|TTL|thundering herd,Cache stampede prevention techniques|Bloom filters for penetration prevention|TTL and expiration strategies|Distributed lock trade-offs,180
126,Design a globally scalable Chat & Messaging Application like WhatsApp or Slack. How do you handle message delivery guarantees?,"Use WebSockets for bidirectional real-time connection maintained via a Connection Gateway cluster. Store messages in a partitioned NoSQL DB (e.g. Cassandra or DynamoDB) keyed by conversation_id. Message queues (Kafka) handle async fanout. Delivery state transitions: Sent (server ack), Delivered (recipient device ack), Read (read receipt ack).",System Design,System Design,Real-Time Messaging,Hard,System Design,Software Engineer|Backend Developer|Full Stack Developer|Cloud Engineer,chat|WebSockets|Kafka|Cassandra|presence|delivery guarantee|fanout|gateway,WebSocket connection management|Scalable partitioning key strategy|Message delivery status lifecycle (Sent/Delivered/Read)|Offline message handling queue,180
127,"Explain database sharding strategies (Range-based, Hash-based, Directory-based). What challenges arise with cross-shard queries?","Range-based shards by key ranges (can cause hotspots). Hash-based (Consistent Hashing) evenly distributes writes across shards. Directory-based uses a lookup service. Cross-shard queries (joins, aggregations) require scatter-gather operations which increase latency; solve by denormalizing or colocation.",Databases,System Design,Database Sharding,Hard,System Design,Software Engineer|Backend Developer|Database Administrator|Full Stack Developer,sharding|consistent hashing|range-based|hotspots|cross-shard|scatter-gather,Comparison of sharding algorithms|Consistent hashing benefits|Cross-shard join complexity and scatter-gather|Hotspot mitigation techniques,180
128,What is the Bias-Variance Tradeoff in machine learning? How do regularization techniques (L1 vs L2) address it?,"High bias causes underfitting (model too simple), while high variance causes overfitting (model captures noise). Regularization constrains model complexity. L1 (Lasso) adds absolute coefficient penalties, driving weights to zero for feature selection. L2 (Ridge) adds squared penalties, shrinking weights smoothly without zeroing them out.",Machine Learning,ML Fundamentals,Regularization,Medium,Data Science,Data Scientist|ML Engineer|AI Engineer|Software Engineer,bias|variance|tradeoff|regularization|L1|L2|Lasso|Ridge|overfitting|underfitting,Definition of bias vs variance|Underfitting vs overfitting dynamics|L1 vs L2 mathematical difference|L1 as feature selection tool,120
129,How do you handle severely imbalanced datasets in classification tasks? When would you use PR-AUC over ROC-AUC?,"Techniques: SMOTE (synthetic oversampling), random undersampling, class-weighted loss functions (Focal Loss), threshold tuning. Use PR-AUC (Precision-Recall) over ROC-AUC when the positive class is rare (e.g. fraud detection <1%), because ROC-AUC is overly optimistic due to large true negative counts.",Machine Learning,ML Evaluation,Imbalanced Classification,Hard,Data Science,Data Scientist|ML Engineer|AI Engineer,imbalanced|SMOTE|undersampling|class weights|ROC-AUC|PR-AUC|Precision|Recall|F1,"Sampling techniques (SMOTE, class weighting)|Why ROC-AUC is misleading for rare events|Precision-Recall curve advantages|Threshold optimization for business cost",120
130,Explain the Self-Attention mechanism in Transformer architectures. How does it compare to recurrent networks (RNN/LSTM)?,"Self-attention computes dynamic attention weights between all tokens in a sequence simultaneously using Query, Key, and Value matrices (Softmax(QK^T / sqrt(d_k)) * V). Unlike RNNs which process sequentially (O(N) time steps, vanishing gradients), Transformers allow full parallelization across the sequence length and direct O(1) path between any two tokens.",Deep Learning,Deep Learning,Transformers,Hard,Data Science,Data Scientist|ML Engineer|AI Engineer,attention|transformer|QKV|query|key|value|RNN|LSTM|parallelization,"Query, Key, Value matrix formulation|Attention score computation formula|Parallelization vs sequential processing of RNNs|Handling of long-range dependencies",150
131,"What are SQL Window Functions (e.g. ROW_NUMBER, RANK, DENSE_RANK, LEAD/LAG), and how do they differ from GROUP BY?","GROUP BY collapses multiple rows into a single aggregate row. Window functions perform calculations across a set of table rows related to the current row without collapsing them (each row retains its identity). OVER(PARTITION BY ... ORDER BY ...) defines the window. ROW_NUMBER gives sequential 1..N, RANK skips on ties (1,2,2,4), DENSE_RANK does not skip (1,2,2,3).",SQL,Data Analysis,Window Functions,Medium,Data Science,Data Scientist|Data Engineer|Database Administrator|Backend Developer,SQL|window functions|ROW_NUMBER|RANK|DENSE_RANK|LEAD|LAG|PARTITION BY,"Window functions preserve individual rows vs GROUP BY collapsing|Partition by and order by syntax|Differences between ROW_NUMBER, RANK, DENSE_RANK|LEAD/LAG practical time-series use case",90
